"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"ISR","Israel",2.32931471,2.32931471,2.32931471,2.32931471,2.32931471,2.32931471,2.00613737,2.22130418,2.01321959,2.25946832,2.04154444,1.43766606,1.2978034,1.39181936,1.30442321,1.29174137,1.34634233,1.4116447,1.38764489,1.33274436,1.40435195,1.33861947,1.37674665,1.3860333,1.9170897,1.16219234,1.16219234
"ITA","Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,
"JAM","Jamaica",0.24130119,0.24130119,0.24130119,0.24130119,0.24130119,0.24130119,0.51798779,0.68828112,0.71478754,1.82004178,1.36601472,1.60309124,1.81668878,1.60756385,2.43616128,2.18877196,2.26763463,3.24729013,1.01295555,1.41637099,1.40154922,1.57472765,1.43070424,1.49903858,1.59238422,1.52716148,1.52716148
"JPN","Japan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JOR","Jordan",2.59515572,2.59515572,2.59515572,2.59515572,2.59515572,2.59515572,2.70270276,2.13414645,3.6418817,14.24657536,2.90771174,5,3.27706051,1.39194143,3.85812068,4.51080036,3.7470727,6.15034151,6.33200216,5.88547182,0.8010118,4.19833946,9.3012476,4.44662285,3.13941145,4.70915604,4.70915604
"KAZ","Kazakhstan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06958842,0.13704962,0.15219624,0.18265615,0.11928894,0.08288634,0.18342023,0.18244004,0.15486297,0.15486297,0.15486297,0.15486297
"KEN","Kenya",13.88037395,13.88037395,13.88037395,13.88037395,13.88037395,13.88037395,14.19604874,15.66774178,16.67730904,20.33462715,18.8107357,30.20254517,30.15893555,30.17814255,29.32873154,28.80493546,26.32249451,24.31078529,22.64751053,20.01926231,17.92063522,16.20617104,21.08673096,22.1549015,18.50995064,17.89884758,17.89884758
"KIR","Kiribati",0,0,0,0,0,0,1.49644625,1.75632191,1.31677949,0.74420941,0.97252667,14.71540165,17.07786942,23.03377151,33.60844421,5.16099882,1.55702436,7.17942381,14.43233299,13.89810753,10.7152195,8.079319,21.21818542,22.93151855,14.78945732,17.33725166,17.33725166
"PRK","Korea, Democratic People's Repub",,,,,,,,,,,,,,,,,,,,,,,,,,,
"KOR","Korea, Republic of",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KWT","Kuwait",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KGZ","Kyrgyzstan",0,0,0,0,0,0,0,0,10.00204182,15.72711468,6.43977356,10.14785576,12.58087826,6.94320059,10.95561028,7.77112436,4.49704218,7.15380096,5.37857103,6.31272554,7.50359297,3.83458447,5.64198399,4.9450717,2.32294869,9.17079926,9.17079926
"LAO","Lao People's Democratic Republic",9.8260746,9.8260746,9.8260746,9.8260746,9.8260746,9.8260746,20.51770973,15.64309025,13.90244102,22.3620739,20.21408081,27.84760666,23.54574203,21.9759922,19.59241486,16.71572495,27.60452843,27.02466965,18.99671936,16.78850174,16.96152306,18.11935997,16.67073631,12.45091534,21.20898628,15.358881,15.358881
